SpecNo,MaterialCode,MaterialCodeIfs,SupplierName,Revision
CCL-SPEC-QC173,336TXV-E2a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC175,G41 (PC Film) T0.175,,"SUZHOU OMAY OPTICAL MATERIALS CO.,LTD",R03
CCL-SPEC-QC183,3M 467MP,,Công ty TNHH Vật liệu Công nghiệp Cao Sơn,R03
CCL-SPEC-QC192,VM Velvet Matte PC Film T0.25,,HX Production Group,R03
CCL-SPEC-QC195,PC10 - GG CLEAR PC FILM,,HX Production Group,R03
CCL-SPEC-QC196,PP WHITE 150U,,Nan Ya Plastics Corporation,R03
CCL-SPEC-QC198,2PBCAAA T0.2,,Grand Upward Technology Ltd.,R03
CCL-SPEC-QC202,B6020-EX,,Công ty TNHH Vật Tư Điện Tử Tailun Vina,R03
CCL-SPEC-QC203,S3815L-25,,Công ty TNHH Vật Tư Điện Tử Tailun Vina,R03
CCL-SPEC-QC205,TPE5005E,,Công ty TNHH Vật Tư Điện Tử Tailun Vina,R03
CCL-SPEC-QC206,3M 9472LE,,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC208,3M 468MP,,Công ty TNHH Vật liệu Công nghiệp Cao Sơn,R03
CCL-SPEC-QC209,WP-SM WG65 UR-3A,,"SAELIM CO., LTD",R03
CCL-SPEC-QC210,WP-6,,SAELIM,R03
CCL-SPEC-QC212,Double sided Tape 5748 AS,,"SERTIM CO., LTD",R03
CCL-SPEC-QC213,XPC503,,"SUN TECHNOLOGY CO.,LTD",R03
CCL-SPEC-QC214,XAY801 ( 80g Brown Paper Liner ),,"SUN TECHNOLOGY CO.,LTD",R03
CCL-SPEC-QC216,P5005,,Công ty TNHH Cung Cấp Điện Tử Sesin Việt Nam,R03
CCL-SPEC-QC217,PET A5002,,Công ty TNHH Cung Cấp Điện Tử Sesin Việt Nam,R03
CCL-SPEC-QC219,SJ-2080YW3,,SSJ ADVANCED,R03
CCL-SPEC-QC221,CQ-B-G15800,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC223,ECO-25MCL,,"NEION VIET NAM CO.,LTD",R03
CCL-SPEC-QC224,ECO-80WB-MX1,,"NEION VIET NAM CO.,LTD",R03
CCL-SPEC-QC225,ADHESIVE TAPE D467,,"ZhongShan New Asia Adhesive-Product Co., Ltd",R03
CCL-SPEC-QC226,PPATM(T)(30)(N),,"Zhongshan KingLabel New Materials Co., Ltd",R03
CCL-SPEC-QC227,AL(W)(50)(K170305),,"Zhongshan KingLabel New Materials Co., Ltd",R03
CCL-SPEC-QC228,DF050BW Foam tape,,"ZhongShan New Asia Adhesive-Product Co., Ltd",R03
CCL-SPEC-QC229,336-H1a,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC232,Giấy Coche C80,,Ngọc Việt,R03
CCL-SPEC-QC235,8266T-Lga,,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC236,UTP50LA-30,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC237,Giấy Coche bóng 170g,,Giấy Ngọc Việt,R03
CCL-SPEC-QC239,SILIPHAN S30 M74F,,CÔNG TY TNHH CÔNG NGHỆ RDM,R03
CCL-SPEC-QC242,lukitape # 1407,,LUKI,R03
CCL-SPEC-QC250,CALP-SH200 BC T0.4,,Công ty TNHH Chiyoda Integre Việt Nam,R03
CCL-SPEC-QC251,YUPO FGS300,,Công ty TNHH Chiyoda Integre Việt Nam,R03
CCL-SPEC-QC252,PHF151MAB-0.2T,,Công ty TNHH Chiyoda Integre Việt Nam,R03
CCL-SPEC-QC253,3M 5558,,Công ty TNHH Vật liệu Công nghiệp Cao Sơn,R03
CCL-SPEC-QC255,3M 9080A,,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC256,3M 9460PC,,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC257,3M VHB 4955,,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC258,TWPE5050,,Công ty TNHH Công Nghiệp Adcel Việt Nam,R03
CCL-SPEC-QC264,CÁC LOẠI MỰC(HÓA CHẤT),,ALL,R01
CCL-SPEC-QC279,XL-S200 T3.0 PMMA,,"HUIZHOU GALILEO TRADING CO.,LTD",R03
CCL-SPEC-QC281,CPWG-P002L,,Vũ Hoàng Minh,R03
CCL-SPEC-QC282,ART K PZ2* 8K,,Công ty TNHH Lintec Hà Nội Việt Nam,R03
CCL-SPEC-QC284,HTLT50#5RJ(D0702001),,Zhongshan KingLabel,R03
CCL-SPEC-QC285,TLSH50HEJ (EA) (W190202),,"Zhongshan KingLabel New Materials Co., Ltd",R03
CCL-SPEC-QC287,PTMWG-D0850S,,Vũ Hoàng Minh,R03
CCL-SPEC-QC288,306T-J1a,,SHENZHEN CHEERMO,R03
CCL-SPEC-QC290,HS-7705P,,VIỆT HÀN,R03
CCL-SPEC-QC292,Soken tape: W-202AD,,NỀN VIỆT,R03
CCL-SPEC-QC293,TPE5010,,TAILUN,R03
CCL-SPEC-QC294,TPE80200,,TAILUN,R03
CCL-SPEC-QC295,PC1151 T0.50,,Chiyoda Integre,R03
CCL-SPEC-QC298,CHC-50030,,VIỆT HÀN,R03
CCL-SPEC-QC299,LEXAN 8B35V-112 T0.125,,"Innox higa Singapore Pte.,Ltd",R03
CCL-SPEC-QC301,GG CLEAR PC FILM (eqv EC101) T0.5,,HX Production Group Limited,R03
CCL-SPEC-QC302,VM Velvet Matte PC Film T0.38,,HX Production Group Limited,R03
CCL-SPEC-QC303,JST-2503,,CÔNG TY TNHH JY TECH,R03
CCL-SPEC-QC304,HS-SW200,,VIỆT HÀN,R00
CCL-SPEC-QC306,DY-W2550,,VIỆT HÀN,R03
CCL-SPEC-QC307,3M 9448A,,CAO SƠN,R03
CCL-SPEC-QC308,SY-7051N,,CN CÔNG TY TNHH AVERY DENNISON (VIỆT NAM) TẠI BẮC NINH,R03
CCL-SPEC-QC309,ST5008,,Công ty TNHH Vật Tư Điện Tử Tailun Vina,R03
CCL-SPEC-QC310,UTPP-70,70007166,"CCL Design (Haian) Co., Ltd",R03
CCL-SPEC-QC311,UTP188L-25,,Shanghai Youte Paper,R03
CCL-SPEC-QC312,NITTO NO.56105(NSS),,Công ty TNHH Vật liệu băng keo Nitto Denko (Việt Nam),R03
CCL-SPEC-QC313,YBPT23LA2,,"Zhejiang Fanteke New Material Co.,LTD",R03
CCL-SPEC-QC314,PT50LAW(D),,ZHEJIANG FANTEKE NEW MATERIAL CO LTD,R03
CCL-SPEC-QC315,TLT50#RJ ( K060707 ),,"Zhongshan KingLabel New Materials Co., Ltd",R03
CCL-SPEC-QC316,BY036-1Z,70009817,ShenZhen Pankok,R03
CCL-SPEC-QC317,BY036-2Z,,"ShenZhen Pankok Elec.Tech Co.,Ltd",R03
CCL-SPEC-QC318,BY075-5Z,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC319,BY075-6Z,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC320,OMAY G41 T0.25,,Grand Upward Technology Ltd.,R03
CCL-SPEC-QC321,LEXAN 8B35V-112 T0.5,,"Innox higa Singapore Pte.,Ltd",R03
CCL-SPEC-QC322,3M 9495LE,,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC323,3M 9495MP,,Công ty TNHH ART-KO VINA,R03
CCL-SPEC-QC324,YT2015-7080-2E,,"Shanghai Youte Paper-Plastic Products Co.,Ltd",R03
CCL-SPEC-QC325,Web Clean #188 （ MType ）,,"INABATA VIETNAM CO., LTD",R03
CCL-SPEC-QC327,Màng tự dính PET25-O-F1,,"NICHIEI KAKOH (H.K.),LTD.",R03
CCL-SPEC-QC328,3FR-M01075S,,CN CÔNG TY TNHH AVERY DENNISON (VIỆT NAM) TẠI BẮC NINH,R03
CCL-SPEC-QC329,DFR117ECOB T 0.5,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC330,PC Omay G32 on side masking T0.5,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC331,PC 2811 T0.25,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC332,TD-C-0522,,SHENZHEN PANKOK,R01
CCL-SPEC-QC333,JHS4B07S Protronix,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
CCL-SPEC-QC334,H02 Silicone tape,,"SHENZHEN PANKOK ELECTRONIC TECHNOLOGY CO., LTD",R03
